,id,age,income,children,gender,region,married,car,savings_acct,current_acct,mortgage,pep,gender_FEMALE,gender_MALE,region_INNER_CITY,region_RURAL,region_SUBURBAN,region_TOWN,married_NO,married_YES,car_NO,car_YES,savings_acct_NO,savings_acct_YES,current_acct_NO,current_acct_YES,mortgage_NO,mortgage_YES,pep_NO,pep_YES
99,ID12200,0.00,0.18,0.00,FEMALE,RURAL,YES,YES,NO,YES,NO,NO,1,0,0,1,0,0,0,1,0,1,1,0,0,1,1,0,1,0
100,ID12201,0.73,0.37,0.33,MALE,INNER_CITY,YES,NO,YES,YES,YES,YES,0,1,1,0,0,0,0,1,1,0,0,1,0,1,0,1,0,1
101,ID12202,0.18,0.11,0.67,FEMALE,INNER_CITY,YES,YES,YES,YES,NO,NO,1,0,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0
102,ID12203,0.49,0.18,0.00,MALE,INNER_CITY,YES,YES,NO,YES,YES,YES,0,1,1,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1
103,ID12204,0.51,0.48,0.00,MALE,TOWN,NO,NO,YES,YES,YES,NO,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,1,1,0
104,ID12205,0.94,0.51,0.33,FEMALE,INNER_CITY,YES,NO,YES,YES,NO,YES,1,0,1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,1
105,ID12206,0.51,0.47,1.00,MALE,TOWN,YES,YES,YES,YES,NO,NO,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0
106,ID12207,0.63,0.72,0.00,MALE,RURAL,YES,YES,YES,NO,NO,NO,0,1,0,1,0,0,0,1,0,1,0,1,1,0,1,0,1,0
107,ID12208,0.10,0.14,0.00,MALE,INNER_CITY,YES,NO,NO,YES,NO,NO,0,1,1,0,0,0,0,1,1,0,1,0,0,1,1,0,1,0
108,ID12209,0.10,0.13,0.00,MALE,INNER_CITY,NO,NO,YES,YES,NO,YES,0,1,1,0,0,0,1,0,1,0,0,1,0,1,1,0,0,1
109,ID12210,0.24,0.33,0.67,FEMALE,INNER_CITY,YES,YES,YES,YES,YES,NO,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0
110,ID12211,0.37,0.56,0.67,MALE,TOWN,NO,NO,YES,YES,NO,YES,0,1,0,0,0,1,1,0,1,0,0,1,0,1,1,0,0,1
111,ID12212,0.33,0.35,1.00,MALE,INNER_CITY,YES,YES,NO,NO,YES,NO,0,1,1,0,0,0,0,1,0,1,1,0,1,0,0,1,1,0
112,ID12213,0.67,0.55,0.00,FEMALE,INNER_CITY,YES,YES,NO,YES,NO,NO,1,0,1,0,0,0,0,1,0,1,1,0,0,1,1,0,1,0
113,ID12214,0.37,0.49,0.67,MALE,TOWN,NO,YES,YES,YES,NO,YES,0,1,0,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1
114,ID12215,0.78,0.66,0.33,MALE,INNER_CITY,YES,YES,YES,YES,NO,YES,0,1,1,0,0,0,0,1,0,1,0,1,0,1,1,0,0,1
115,ID12216,0.73,0.74,0.00,FEMALE,INNER_CITY,YES,NO,YES,YES,NO,NO,1,0,1,0,0,0,0,1,1,0,0,1,0,1,1,0,1,0
116,ID12217,0.78,0.29,0.67,FEMALE,TOWN,YES,NO,YES,NO,NO,NO,1,0,0,0,0,1,0,1,1,0,0,1,1,0,1,0,1,0
117,ID12218,0.16,0.09,1.00,MALE,INNER_CITY,YES,NO,YES,YES,YES,NO,0,1,1,0,0,0,0,1,1,0,0,1,0,1,0,1,1,0
118,ID12219,0.43,0.21,0.00,MALE,TOWN,NO,YES,NO,NO,NO,YES,0,1,0,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1
119,ID12220,0.94,0.70,1.00,FEMALE,RURAL,YES,YES,YES,YES,NO,YES,1,0,0,1,0,0,0,1,0,1,0,1,0,1,1,0,0,1
120,ID12221,0.57,0.42,0.67,MALE,RURAL,NO,NO,YES,NO,YES,NO,0,1,0,1,0,0,1,0,1,0,0,1,1,0,0,1,1,0
121,ID12222,0.90,0.86,0.33,FEMALE,RURAL,YES,YES,YES,YES,NO,YES,1,0,0,1,0,0,0,1,0,1,0,1,0,1,1,0,0,1
122,ID12223,0.37,0.27,0.33,FEMALE,TOWN,YES,NO,YES,NO,YES,YES,1,0,0,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
123,ID12224,0.35,0.48,0.33,FEMALE,RURAL,NO,NO,YES,YES,NO,YES,1,0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,0,1
124,ID12225,0.59,0.69,1.00,MALE,RURAL,NO,YES,YES,NO,NO,YES,0,1,0,1,0,0,1,0,0,1,0,1,1,0,1,0,0,1
125,ID12226,0.59,0.58,0.67,MALE,INNER_CITY,YES,NO,NO,YES,NO,YES,0,1,1,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1
126,ID12227,0.39,0.35,0.00,FEMALE,TOWN,YES,YES,YES,YES,NO,NO,1,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0
127,ID12228,0.61,0.65,0.00,FEMALE,INNER_CITY,YES,NO,YES,YES,NO,NO,1,0,1,0,0,0,0,1,1,0,0,1,0,1,1,0,1,0
128,ID12229,0.47,0.16,1.00,MALE,TOWN,YES,YES,YES,YES,NO,NO,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0
129,ID12230,0.18,0.28,0.00,FEMALE,RURAL,NO,YES,YES,YES,NO,YES,1,0,0,1,0,0,1,0,0,1,0,1,0,1,1,0,0,1
130,ID12231,0.51,0.31,0.67,MALE,INNER_CITY,NO,NO,NO,YES,NO,NO,0,1,1,0,0,0,1,0,1,0,1,0,0,1,1,0,1,0
131,ID12232,0.88,0.63,1.00,MALE,RURAL,YES,NO,YES,YES,YES,NO,0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,1,1,0
132,ID12233,0.69,0.20,0.67,FEMALE,SUBURBAN,NO,YES,YES,YES,NO,NO,1,0,0,0,1,0,1,0,0,1,0,1,0,1,1,0,1,0
133,ID12234,0.94,0.54,0.00,FEMALE,SUBURBAN,YES,YES,NO,YES,NO,NO,1,0,0,0,1,0,0,1,0,1,1,0,0,1,1,0,1,0
134,ID12235,0.98,0.94,0.67,FEMALE,TOWN,YES,YES,YES,YES,YES,YES,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1
135,ID12236,0.71,0.45,0.33,FEMALE,TOWN,YES,YES,YES,YES,NO,YES,1,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1
136,ID12237,0.04,0.16,0.67,FEMALE,INNER_CITY,YES,YES,NO,YES,YES,NO,1,0,1,0,0,0,0,1,0,1,1,0,0,1,0,1,1,0
137,ID12238,0.80,0.59,0.00,FEMALE,INNER_CITY,NO,NO,YES,YES,NO,YES,1,0,1,0,0,0,1,0,1,0,0,1,0,1,1,0,0,1
138,ID12239,0.96,0.64,0.00,FEMALE,RURAL,YES,NO,YES,YES,NO,NO,1,0,0,1,0,0,0,1,1,0,0,1,0,1,1,0,1,0
139,ID12240,0.94,0.86,0.33,FEMALE,INNER_CITY,NO,NO,YES,YES,NO,YES,1,0,1,0,0,0,1,0,1,0,0,1,0,1,1,0,0,1
140,ID12241,0.69,0.55,1.00,MALE,INNER_CITY,YES,NO,YES,YES,NO,NO,0,1,1,0,0,0,0,1,1,0,0,1,0,1,1,0,1,0
141,ID12242,0.59,0.31,0.00,FEMALE,INNER_CITY,YES,NO,NO,YES,NO,NO,1,0,1,0,0,0,0,1,1,0,1,0,0,1,1,0,1,0
142,ID12243,0.20,0.21,0.33,FEMALE,TOWN,YES,YES,NO,NO,YES,NO,1,0,0,0,0,1,0,1,0,1,1,0,1,0,0,1,1,0
143,ID12244,0.94,0.76,0.00,MALE,TOWN,YES,YES,YES,YES,YES,NO,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0
144,ID12245,0.14,0.24,0.33,MALE,INNER_CITY,YES,NO,YES,YES,NO,YES,0,1,1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,1
145,ID12246,0.82,0.79,0.00,MALE,SUBURBAN,YES,NO,YES,NO,YES,YES,0,1,0,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1
146,ID12247,0.33,0.26,0.67,MALE,TOWN,YES,YES,NO,YES,NO,NO,0,1,0,0,0,1,0,1,0,1,1,0,0,1,1,0,1,0
147,ID12248,0.04,0.24,0.67,FEMALE,INNER_CITY,NO,NO,YES,YES,NO,NO,1,0,1,0,0,0,1,0,1,0,0,1,0,1,1,0,1,0
148,ID12249,0.92,0.36,0.00,MALE,RURAL,YES,YES,YES,NO,NO,NO,0,1,0,1,0,0,0,1,0,1,0,1,1,0,1,0,1,0
149,ID12250,0.24,0.40,1.00,FEMALE,SUBURBAN,YES,YES,YES,YES,NO,NO,1,0,0,0,1,0,0,1,0,1,0,1,0,1,1,0,1,0
150,ID12251,0.71,0.40,0.33,MALE,RURAL,YES,YES,YES,YES,NO,YES,0,1,0,1,0,0,0,1,0,1,0,1,0,1,1,0,0,1
151,ID12252,0.51,0.54,0.67,MALE,TOWN,NO,YES,NO,YES,NO,YES,0,1,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1
152,ID12253,0.92,0.85,0.67,MALE,TOWN,YES,NO,YES,NO,YES,YES,0,1,0,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
153,ID12254,0.31,0.34,0.33,MALE,INNER_CITY,YES,NO,YES,YES,YES,YES,0,1,1,0,0,0,0,1,1,0,0,1,0,1,0,1,0,1
154,ID12255,0.47,0.32,0.67,MALE,RURAL,NO,YES,NO,NO,NO,NO,0,1,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0
155,ID12256,0.04,0.05,0.67,FEMALE,SUBURBAN,YES,NO,YES,YES,NO,YES,1,0,0,0,1,0,0,1,1,0,0,1,0,1,1,0,0,1
156,ID12257,0.65,0.37,0.00,MALE,TOWN,YES,YES,YES,YES,NO,NO,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0
157,ID12258,0.12,0.27,0.67,MALE,RURAL,YES,YES,YES,YES,NO,NO,0,1,0,1,0,0,0,1,0,1,0,1,0,1,1,0,1,0
158,ID12259,0.86,0.28,0.00,FEMALE,TOWN,YES,NO,NO,YES,NO,YES,1,0,0,0,0,1,0,1,1,0,1,0,0,1,1,0,0,1
159,ID12260,0.53,0.18,0.33,FEMALE,TOWN,YES,NO,YES,YES,NO,YES,1,0,0,0,0,1,0,1,1,0,0,1,0,1,1,0,0,1
160,ID12261,0.10,0.24,0.67,MALE,INNER_CITY,YES,YES,YES,YES,NO,NO,0,1,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0
